Participant;Data
Testie1;Time;State;Player Position X;Player Position Y;Player Position Z;Monster Position X;Monster Position Y;Monster Position Z;CurrentDeath
Testie1;0:00:132;Game;7.406956;1.818663;7.7837;7.130001;-3.171168;78.16;0
Testie1;0:00:298;Game;7.406956;1.533063;7.867865;7.130001;-3.171168;78.16;0
Testie1;0:00:463;Game;7.406956;0.9369419;7.867865;7.130001;-3.171168;78.16;0
Testie1;0:00:631;Game;7.406956;0.1372367;7.976945;7.130001;-3.171168;78.16;0
Testie1;0:00:798;Game;7.249833;-0.9077145;8.113282;7.130001;-3.171168;78.16;0
Testie1;0:00:932;Game;6.727763;-1.994583;8.222348;7.130001;-3.171168;78.16;0
Testie1;0:01:098;Game;6.075309;-3.970003;8.358653;7.130001;-3.171168;78.16;0
Testie1;0:01:265;Game;5.42263;-3.970003;8.495004;7.130001;-3.171168;78.16;0
Testie1;0:01:431;Game;5.42263;-3.970004;8.495004;7.130001;-3.171168;78.16;0
Testie1;0:01:598;Game;5.42263;-3.970004;8.495004;7.130001;-3.171168;78.16;0
Testie1;0:01:731;Game;4.912664;-3.970004;8.649447;7.130001;-3.171168;78.16;0
Testie1;0:01:898;Game;4.330024;-3.970004;8.969246;7.130001;-3.171168;78.16;0
Testie1;0:02:065;Game;3.786718;-3.970003;9.355353;7.130001;-3.171168;78.16;0
Testie1;0:02:232;Game;3.243285;-3.970004;9.741551;7.130001;-3.171168;78.16;0
Testie1;0:02:397;Game;2.685614;-3.970003;10.10538;7.130001;-3.171168;78.16;0
Testie1;0:02:532;Game;2.174025;-3.970004;10.2475;7.130001;-3.171168;78.16;0
Testie1;0:02:698;Game;1.509091;-3.970003;10.29423;7.130001;-3.171168;78.16;0
Testie1;0:02:865;Game;0.8437173;-3.970004;10.33492;7.130001;-3.171168;78.16;0
Testie1;0:03:031;Game;0.1782409;-3.970003;10.37563;7.130001;-3.171168;78.16;0
Testie1;0:03:198;Game;-0.4872523;-3.970003;10.41633;7.130001;-3.171168;78.16;0
Testie1;0:03:332;Game;-1.019514;-3.970003;10.44888;7.130001;-3.171168;78.16;0
Testie1;0:03:498;Game;-1.684992;-3.970004;10.48959;7.130001;-3.171168;78.16;0
Testie1;0:03:665;Game;-2.350328;-3.970004;10.53168;7.130001;-3.171168;78.16;0
Testie1;0:03:831;Game;-2.978006;-3.970004;10.74035;7.130001;-3.171168;78.16;0
Testie1;0:03:998;Game;-3.571613;-3.970004;11.04385;7.130001;-3.171168;78.16;0
Testie1;0:04:131;Game;-4.04376;-3.970004;11.29173;7.130001;-3.171168;78.16;0
Testie1;0:04:298;Game;-4.634087;-3.970004;11.60166;7.130001;-3.171168;78.16;0
Testie1;0:04:465;Game;-4.752101;-3.970003;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:04:631;Game;-4.752101;-3.970004;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:04:798;Game;-4.752101;-3.970004;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:04:932;Game;-4.752101;-3.970004;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:05:098;Game;-4.752101;-3.970004;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:05:265;Game;-4.752101;-3.414514;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:05:431;Game;-4.752101;-2.803543;11.66362;7.130001;-3.171168;78.16;0
Testie1;0:05:598;Game;-5.11813;-3.303425;11.82455;7.130001;-3.171168;78.16;0
Testie1;0:05:731;Game;-5.558768;-3.670022;12.12288;7.130001;-3.171168;78.16;0
Testie1;0:05:898;Game;-6.015679;-2.832332;12.48056;7.130001;-3.171168;78.16;0
Testie1;0:06:065;Game;-6.443497;-1.829747;12.89383;7.130001;-3.171168;78.16;0
Testie1;0:06:231;Game;-6.878224;-1.440853;13.39924;7.130001;-3.171168;78.16;0
Testie1;0:06:398;Game;-7.312991;-2.163168;13.9047;7.130001;-3.171168;78.16;0
Testie1;0:06:532;Game;-7.312991;-3.47;13.9047;7.130001;-3.171168;78.16;0
