Testie,Time,State,Player Position X,Player Position Y,Player Position Z,Monster Position X,Monster Position Y,Monster Position Z,CurrentDeath
Testie2,165,Game,12.95635,1.796458,7.733848,7.130001,-3.171168,78.16,0
Testie2,331,Game,12.3398,1.491578,7.987223,7.130001,-3.171168,78.16,0
Testie2,498,Game,11.71782,0.9409207,8.227474,7.130001,-3.171168,78.16,0
Testie2,632,Game,11.21162,0.1639585,8.39513,7.130001,-3.171168,78.16,0
Testie2,798,Game,11.08465,-0.944284,8.435651,7.130001,-3.171168,78.16,0
Testie2,964,Game,11.51969,-2.013105,8.127337,7.130001,-3.171168,78.16,0
Testie2,1131,Game,11.51969,-2.868844,8.127337,7.130001,-3.171168,78.16,0
Testie2,1298,Game,11.51969,-3.351388,8.127337,7.137432,-3.171168,78.15513,0
Testie2,1432,Game,11.51969,-3.546849,8.127337,7.159718,-3.171168,78.14051,0
Testie2,1598,Game,11.51969,-3.546849,8.127337,7.344872,-3.171168,78.01768,0
Testie2,1764,Game,11.51969,-3.546849,8.127337,7.71516,-3.171168,77.77209,0
Testie2,1931,Game,11.51969,-3.546849,8.127337,8.240795,-3.171168,77.41554,0
Testie2,2098,Game,11.51969,-3.546849,8.127337,8.781239,-3.136408,77.04343,0
Testie2,2231,Game,11.51969,-3.546849,8.127337,9.209187,-3.104502,76.72536,0
Testie2,2398,Game,11.25881,-3.560683,8.182791,9.744312,-3.143693,76.32759,0
Testie2,2564,Game,10.60683,-3.635977,8.321374,9.744312,-3.143693,76.32759,0
Testie2,2730,Game,9.953108,-3.869969,8.452002,9.744312,-3.143693,76.32759,0
Testie2,2898,Game,9.298002,-3.86998,8.576261,9.744312,-3.143693,76.32759,0
Testie2,3031,Game,8.773808,-3.869991,8.674362,9.765709,-3.146369,76.31168,0
Testie2,3198,Game,8.118576,-3.870004,8.796987,9.944031,-3.168659,76.17914,0
Testie2,3364,Game,7.463203,-3.870017,8.9194,10.30073,-3.171168,75.91399,0
Testie2,3531,Game,6.843034,-3.87003,9.128543,10.81439,-3.157973,75.53218,0
Testie2,3698,Game,6.35065,-3.970004,9.564832,11.34943,-3.135664,75.13448,0
Testie2,3831,Game,6.085302,-3.970004,9.581068,11.77745,-3.117638,74.81631,0
Testie2,3998,Game,6.085302,-3.970004,9.581068,12.31244,-3.104502,74.41866,0
Testie2,4164,Game,6.236325,-3.970003,9.800807,12.84747,-3.541025,74.02096,0
Testie2,4331,Game,6.214679,-3.970003,10.43509,13.38212,-3.571169,73.62354,0
Testie2,4498,Game,6.292824,-3.970003,11.04819,13.91669,-3.571169,73.22617,0
Testie2,4632,Game,6.594876,-3.970004,11.48768,14.34422,-3.571169,72.90839,0
Testie2,4798,Game,7.083638,-3.970004,11.86595,14.87861,-3.571169,72.51116,0
Testie2,4964,Game,7.739049,-3.970003,11.98742,15.41279,-3.571169,72.11408,0
Testie2,5131,Game,8.400247,-3.970003,12.07259,15.94695,-3.571169,71.71703,0
Testie2,5298,Game,9.062078,-3.970003,12.15245,16.4808,-3.571169,71.32021,0
Testie2,5431,Game,9.553892,-3.970004,12.33741,16.80093,-3.571169,71.08225,0
Testie2,5598,Game,9.929057,-3.970003,12.8843,16.82231,-3.571169,71.06636,0
Testie2,5764,Game,10.25328,-3.970003,13.46681,16.82231,-3.571169,71.06636,0
Testie2,5930,Game,10.57481,-3.970004,14.05071,16.82231,-3.571169,71.06636,0
Testie2,6097,Game,10.79136,-3.970003,14.64733,16.84369,-3.571169,71.05048,0
Testie2,6231,Game,10.63993,-3.970003,15.15857,16.9717,-3.527792,70.95532,0
Testie2,6397,Game,10.48177,-3.970004,15.80419,17.71039,-3.3194,70.40623,0
Testie2,6564,Game,10.80097,-3.970004,16.37397,19.80122,-3.222155,68.85209,0
Testie2,6731,Game,10.85241,-3.970004,17.00647,21.54744,-3.126327,67.67364,0
